seed,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2033,E1_baseline,2.0,0.5,0.5,0.3088235294117647,32.0,0.0,0.4427450980392157,338.0,4.0,81.0,0.0,0.0
2033,E2_fixed_attack,13.149999999999991,0.5,0.5,0.5021097046413502,43.14999999999999,0.0,0.5626666666666666,336.0,7.0,78.0,1.0,0.0
2033,E3_rule_aura,171.95,0.75,0.75,0.8144329896907216,216.95,0.0,0.9500000000000001,134.0,2.0,22.0,5.0,0.0
2033,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.025041736227045076,9.5,0.0,0.09460420144685587,341.0,5.0,80.0,5.0,20.0
2033,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.010687022900763359,9.5,3.0,0.13742684478371503,353.0,13.0,78.0,5.0,24.0
2033,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.009628610729023384,9.5,3.0,0.13689763869784502,353.0,10.0,77.0,5.0,26.0
2033,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.06732117812061711,9.5,3.0,0.16574392239364188,347.0,12.0,68.0,5.0,32.0
2034,E1_baseline,3.0,0.5,0.5,0.315035799522673,33.0,0.0,0.4525178997613365,341.0,5.0,87.0,0.0,0.0
2034,E2_fixed_attack,36.0,0.75,0.75,0.6031746031746031,81.0,0.0,0.7274999999999999,335.0,4.0,65.0,1.0,0.0
2034,E3_rule_aura,141.39999999999998,0.5,0.5,0.8062015503875969,171.39999999999998,0.0,0.9428333333333334,127.0,4.0,17.0,5.0,0.0
2034,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.008389261744966443,9.5,0.0,0.08627796420581654,335.0,2.0,78.0,5.0,24.0
2034,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.016,9.5,3.0,0.14008333333333334,331.0,7.0,77.0,5.0,22.0
2034,E6_ml_aura_tsra_r,1.0,0.5,0.125,0.006944444444444444,8.5,3.0,0.1288888888888889,356.0,6.0,80.0,5.0,24.0
