seed,condition,disabled_action,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2034,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.008389261744966443,9.5,0.0,0.08627796420581654,335.0,2.0,78.0,5.0,24.0
2035,full,none,tsra_ablation_full,1.0,0.5,0.125,0.045454545454545456,8.5,1.0,0.11481060606060606,350.0,5.0,80.0,5.0,23.0
2035,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,5.049999999999997,0.5,0.125,0.5255255255255256,12.549999999999997,3.0,0.35241666666666666,348.0,9.0,80.0,5.0,18.0
2035,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.0074850299401197605,8.5,1.0,0.0958258483033932,341.0,7.0,76.0,5.0,16.0
2035,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,1.0,0.5,0.5,0.045454545454545456,31.0,1.0,0.32106060606060605,350.0,5.0,80.0,5.0,14.0
2035,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,3.0,0.5,0.125,0.04639175257731959,10.5,0.0,0.11194587628865979,326.0,10.0,74.0,5.0,23.0
2036,full,none,tsra_ablation_full,2.0,0.5,0.125,0.0296875,9.5,1.0,0.11359375,338.0,10.0,75.0,5.0,24.0
2036,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,3.5,0.5,0.125,0.4431239388794567,11.0,3.0,0.34208333333333335,315.0,6.0,76.0,5.0,17.0
2036,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.004418262150220913,9.5,1.0,0.10095913107511045,349.0,2.0,72.0,5.0,17.0
2036,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.0296875,32.0,1.0,0.31984375,338.0,10.0,75.0,5.0,16.0
2036,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.13485113835376533,9.5,0.0,0.14950890251021598,319.0,1.0,72.0,5.0,23.0
2037,full,none,tsra_ablation_full,2.0,0.5,0.125,0.0959119496855346,9.5,3.0,0.18003930817610064,358.0,9.0,79.0,5.0,23.0
2037,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.3895253682487725,9.5,3.0,0.3268460174577196,350.0,11.0,79.0,5.0,18.0
